"","Images","Speedup","Strategy","Workload","Camera","Format","Label"
"167",40,2.61036248853101,"3","bal","cinema","E","bal-E-3"
"168",40,3.26734921957223,"4","bal","cinema","E","bal-E-4"
"169",60,1,"1","bal","cinema","E","bal-E-1"
"170",60,1.25049672001928,"2","bal","cinema","E","bal-E-2"
"171",60,2.60115215303743,"3","bal","cinema","E","bal-E-3"
"172",60,3.33612753614457,"4","bal","cinema","E","bal-E-4"
"173",80,1,"1","bal","cinema","E","bal-E-1"
"174",80,1.24581300712346,"2","bal","cinema","E","bal-E-2"
"175",80,2.64172891652515,"3","bal","cinema","E","bal-E-3"
"176",80,3.24851649451474,"4","bal","cinema","E","bal-E-4"
"177",100,1,"1","bal","cinema","E","bal-E-1"
"178",100,1.24977358480602,"2","bal","cinema","E","bal-E-2"
"179",100,2.64580637407663,"3","bal","cinema","E","bal-E-3"
"180",100,3.29711439667032,"4","bal","cinema","E","bal-E-4"
"181",20,1,"1","imb","cinema","E","imb-E-1"
"182",20,1.19034637207245,"2","imb","cinema","E","imb-E-2"
"183",20,2.53774763910429,"3","imb","cinema","E","imb-E-3"
"184",20,3.53552692051711,"4","imb","cinema","E","imb-E-4"
"185",40,1,"1","imb","cinema","E","imb-E-1"
"186",40,1.18360927561805,"2","imb","cinema","E","imb-E-2"
"187",40,2.78771933604489,"3","imb","cinema","E","imb-E-3"
"188",40,3.55879662360259,"4","imb","cinema","E","imb-E-4"
"189",60,1,"1","imb","cinema","E","imb-E-1"
"190",60,1.22186971876129,"2","imb","cinema","E","imb-E-2"
"191",60,2.70972231053433,"3","imb","cinema","E","imb-E-3"
"192",60,3.58953850199413,"4","imb","cinema","E","imb-E-4"
"193",80,1,"1","imb","cinema","E","imb-E-1"
"194",80,1.21142875371504,"2","imb","cinema","E","imb-E-2"
"195",80,2.70533018459087,"3","imb","cinema","E","imb-E-3"
"196",80,3.53630266142779,"4","imb","cinema","E","imb-E-4"
"197",100,1,"1","imb","cinema","E","imb-E-1"
"198",100,1.20638917425343,"2","imb","cinema","E","imb-E-2"
"199",100,2.71610716158844,"3","imb","cinema","E","imb-E-3"
"200",100,3.53139175274836,"4","imb","cinema","E","imb-E-4"
"201",20,1,"1","slc","cinema","E","slc-E-1"
"202",20,1.07791743210567,"2","slc","cinema","E","slc-E-2"
"203",20,2.43826906989125,"3","slc","cinema","E","slc-E-3"
"204",20,3.49574436998576,"4","slc","cinema","E","slc-E-4"
"205",40,1,"1","slc","cinema","E","slc-E-1"
"206",40,1.06533958769687,"2","slc","cinema","E","slc-E-2"
"207",40,2.54494611853081,"3","slc","cinema","E","slc-E-3"
"208",40,3.38958081778035,"4","slc","cinema","E","slc-E-4"
"209",60,1,"1","slc","cinema","E","slc-E-1"
"210",60,1.09387315760504,"2","slc","cinema","E","slc-E-2"
"211",60,2.51141698694889,"3","slc","cinema","E","slc-E-3"
"212",60,3.38783389803798,"4","slc","cinema","E","slc-E-4"
"213",80,1,"1","slc","cinema","E","slc-E-1"
"214",80,1.09855223008505,"2","slc","cinema","E","slc-E-2"
"215",80,2.54871295880685,"3","slc","cinema","E","slc-E-3"
"216",80,3.38126120097903,"4","slc","cinema","E","slc-E-4"
"217",100,1,"1","slc","cinema","E","slc-E-1"
"218",100,1.09985876694164,"2","slc","cinema","E","slc-E-2"
"219",100,2.5796770298728,"3","slc","cinema","E","slc-E-3"
"220",100,3.38845673131149,"4","slc","cinema","E","slc-E-4"
"221",20,1,"1","iso","cinema","E","iso-E-1"
"222",20,1.02635296912599,"2","iso","cinema","E","iso-E-2"
"223",20,2.12164106176428,"3","iso","cinema","E","iso-E-3"
"224",20,3.30566628343977,"4","iso","cinema","E","iso-E-4"
"225",40,1,"1","iso","cinema","E","iso-E-1"
"226",40,1.02097227358046,"2","iso","cinema","E","iso-E-2"
"227",40,2.23488633223379,"3","iso","cinema","E","iso-E-3"
"228",40,3.19126110493407,"4","iso","cinema","E","iso-E-4"
"229",60,1,"1","iso","cinema","E","iso-E-1"
"230",60,1.05139213153569,"2","iso","cinema","E","iso-E-2"
"231",60,2.3537021145792,"3","iso","cinema","E","iso-E-3"
"232",60,3.18903531751726,"4","iso","cinema","E","iso-E-4"
"233",80,1,"1","iso","cinema","E","iso-E-1"
"234",80,1.04821688896625,"2","iso","cinema","E","iso-E-2"
"235",80,2.36762346970678,"3","iso","cinema","E","iso-E-3"
"236",80,3.14645912504547,"4","iso","cinema","E","iso-E-4"
"237",100,1,"1","iso","cinema","E","iso-E-1"
"238",100,1.04357385250211,"2","iso","cinema","E","iso-E-2"
"239",100,2.45214103436012,"3","iso","cinema","E","iso-E-3"
"240",100,3.1581561110062,"4","iso","cinema","E","iso-E-4"
"241",20,1,"1","bal","cinema","S","bal-S-1"
"242",20,1.34800122348278,"2","bal","cinema","S","bal-S-2"
"243",20,1.47716626823748,"3","bal","cinema","S","bal-S-3"
"244",20,1.98030128322963,"4","bal","cinema","S","bal-S-4"
"245",40,1,"1","bal","cinema","S","bal-S-1"
"246",40,1.347385417364,"2","bal","cinema","S","bal-S-2"
"247",40,1.5407999307693,"3","bal","cinema","S","bal-S-3"
"248",40,1.82826989305066,"4","bal","cinema","S","bal-S-4"
"249",60,1,"1","bal","cinema","S","bal-S-1"
"250",60,1.44058352425469,"2","bal","cinema","S","bal-S-2"
"251",60,1.65080021801316,"3","bal","cinema","S","bal-S-3"
"252",60,1.86755256749058,"4","bal","cinema","S","bal-S-4"
"253",80,1,"1","bal","cinema","S","bal-S-1"
"254",80,1.41178310719865,"2","bal","cinema","S","bal-S-2"
"255",80,1.63782231456014,"3","bal","cinema","S","bal-S-3"
"256",80,1.79283243917654,"4","bal","cinema","S","bal-S-4"
"257",100,1,"1","bal","cinema","S","bal-S-1"
"258",100,1.42256466706863,"2","bal","cinema","S","bal-S-2"
"259",100,1.64044963216889,"3","bal","cinema","S","bal-S-3"
"260",100,1.77870708259839,"4","bal","cinema","S","bal-S-4"
"261",20,1,"1","imb","cinema","S","imb-S-1"
"262",20,1.33710266351449,"2","imb","cinema","S","imb-S-2"
"263",20,1.51478187035009,"3","imb","cinema","S","imb-S-3"
"264",20,2.1456048930648,"4","imb","cinema","S","imb-S-4"
"265",40,1,"1","imb","cinema","S","imb-S-1"
"266",40,1.47762484141345,"2","imb","cinema","S","imb-S-2"
"267",40,1.73741331969077,"3","imb","cinema","S","imb-S-3"
"268",40,2.08459052103555,"4","imb","cinema","S","imb-S-4"
"269",60,1,"1","imb","cinema","S","imb-S-1"
"270",60,1.40434371246271,"2","imb","cinema","S","imb-S-2"
"271",60,1.69396678363351,"3","imb","cinema","S","imb-S-3"
"272",60,1.91770757257578,"4","imb","cinema","S","imb-S-4"
"273",80,1,"1","imb","cinema","S","imb-S-1"
"274",80,1.41866824362377,"2","imb","cinema","S","imb-S-2"
"275",80,1.72661214850238,"3","imb","cinema","S","imb-S-3"
"276",80,1.89713456456173,"4","imb","cinema","S","imb-S-4"
"277",100,1,"1","imb","cinema","S","imb-S-1"
"278",100,1.44774699903232,"2","imb","cinema","S","imb-S-2"
"279",100,1.69624607925708,"3","imb","cinema","S","imb-S-3"
"280",100,1.87610789252468,"4","imb","cinema","S","imb-S-4"
"281",20,1,"1","slc","cinema","S","slc-S-1"
"282",20,1.12154032748961,"2","slc","cinema","S","slc-S-2"
"283",20,1.29159455556838,"3","slc","cinema","S","slc-S-3"
"284",20,1.91306194103665,"4","slc","cinema","S","slc-S-4"
"285",40,1,"1","slc","cinema","S","slc-S-1"
"286",40,1.17996753914733,"2","slc","cinema","S","slc-S-2"
"287",40,1.38138847288964,"3","slc","cinema","S","slc-S-3"
"288",40,1.71504174496894,"4","slc","cinema","S","slc-S-4"
"289",60,1,"1","slc","cinema","S","slc-S-1"
"290",60,1.1600581402038,"2","slc","cinema","S","slc-S-2"
"291",60,1.36259475789953,"3","slc","cinema","S","slc-S-3"
"292",60,1.63544498621738,"4","slc","cinema","S","slc-S-4"
"293",80,1,"1","slc","cinema","S","slc-S-1"
"294",80,1.14389417347764,"2","slc","cinema","S","slc-S-2"
"295",80,1.39059845701231,"3","slc","cinema","S","slc-S-3"
"296",80,1.57961386670995,"4","slc","cinema","S","slc-S-4"
"297",100,1,"1","slc","cinema","S","slc-S-1"
"298",100,1.17755310583884,"2","slc","cinema","S","slc-S-2"
"299",100,1.43027077736138,"3","slc","cinema","S","slc-S-3"
"300",100,1.58492641456034,"4","slc","cinema","S","slc-S-4"
"301",20,1,"1","iso","cinema","S","iso-S-1"
"302",20,1.05691364072927,"2","iso","cinema","S","iso-S-2"
"303",20,1.19033376247284,"3","iso","cinema","S","iso-S-3"
"304",20,1.83834495972886,"4","iso","cinema","S","iso-S-4"
"305",40,1,"1","iso","cinema","S","iso-S-1"
"306",40,1.07319763831066,"2","iso","cinema","S","iso-S-2"
"307",40,1.25402338084289,"3","iso","cinema","S","iso-S-3"
"308",40,1.63305724915207,"4","iso","cinema","S","iso-S-4"
"309",60,1,"1","iso","cinema","S","iso-S-1"
"310",60,1.10305023007392,"2","iso","cinema","S","iso-S-2"
"311",60,1.32304761496286,"3","iso","cinema","S","iso-S-3"
"312",60,1.59542917137892,"4","iso","cinema","S","iso-S-4"
"313",80,1,"1","iso","cinema","S","iso-S-1"
"314",80,1.06111437224284,"2","iso","cinema","S","iso-S-2"
"315",80,1.24705125236282,"3","iso","cinema","S","iso-S-3"
"316",80,1.50224496270073,"4","iso","cinema","S","iso-S-4"
"317",100,1,"1","iso","cinema","S","iso-S-1"
"318",100,1.09400249241236,"2","iso","cinema","S","iso-S-2"
"319",100,1.32004734170287,"3","iso","cinema","S","iso-S-3"
"320",100,1.5155338205225,"4","iso","cinema","S","iso-S-4"
"321",20,1,"1","bal","inverse","E","bal-E-1"
"322",20,1.79835022571299,"2","bal","inverse","E","bal-E-2"
"323",20,1.85802068039814,"3","bal","inverse","E","bal-E-3"
"324",20,1.90690654044446,"4","bal","inverse","E","bal-E-4"
"325",40,1,"1","bal","inverse","E","bal-E-1"
"326",40,1.89732135188503,"2","bal","inverse","E","bal-E-2"
"327",40,1.94859177672987,"3","bal","inverse","E","bal-E-3"
"328",40,1.97364063011037,"4","bal","inverse","E","bal-E-4"
"329",60,1,"1","bal","inverse","E","bal-E-1"
"330",60,1.86401104700129,"2","bal","inverse","E","bal-E-2"
"331",60,1.91358010912303,"3","bal","inverse","E","bal-E-3"
"332",60,1.93261825629426,"4","bal","inverse","E","bal-E-4"
"333",80,1,"1","bal","inverse","E","bal-E-1"
"334",80,1.87607270975742,"2","bal","inverse","E","bal-E-2"
"335",80,1.9370606151835,"3","bal","inverse","E","bal-E-3"
"336",80,1.93990579719933,"4","bal","inverse","E","bal-E-4"
"337",100,1,"1","bal","inverse","E","bal-E-1"
"338",100,1.86763175202141,"2","bal","inverse","E","bal-E-2"
"339",100,1.93324616541604,"3","bal","inverse","E","bal-E-3"
"340",100,1.93953599075315,"4","bal","inverse","E","bal-E-4"
"341",20,1,"1","imb","inverse","E","imb-E-1"
"342",20,2.25287724849251,"2","imb","inverse","E","imb-E-2"
"343",20,5.33039109485344,"3","imb","inverse","E","imb-E-3"
"344",20,7.81622360482655,"4","imb","inverse","E","imb-E-4"
"345",40,1,"1","imb","inverse","E","imb-E-1"
"346",40,2.45198344927441,"2","imb","inverse","E","imb-E-2"
"347",40,6.45412305615189,"3","imb","inverse","E","imb-E-3"
"348",40,9.24293911607038,"4","imb","inverse","E","imb-E-4"
"349",60,1,"1","imb","inverse","E","imb-E-1"
"350",60,2.49521974283458,"2","imb","inverse","E","imb-E-2"
"351",60,6.55882771258428,"3","imb","inverse","E","imb-E-3"
"352",60,9.68246771425442,"4","imb","inverse","E","imb-E-4"
"353",80,1,"1","imb","inverse","E","imb-E-1"
"354",80,2.51401426878445,"2","imb","inverse","E","imb-E-2"
"355",80,6.83098058877685,"3","imb","inverse","E","imb-E-3"
"356",80,9.92700420450129,"4","imb","inverse","E","imb-E-4"
"357",100,1,"1","imb","inverse","E","imb-E-1"
"358",100,2.53936981535991,"2","imb","inverse","E","imb-E-2"
"359",100,6.87219137993687,"3","imb","inverse","E","imb-E-3"
"360",100,9.82844302240635,"4","imb","inverse","E","imb-E-4"
"361",20,1,"1","slc","inverse","E","slc-E-1"
"362",20,1.42180887333547,"2","slc","inverse","E","slc-E-2"
"363",20,1.48828716202881,"3","slc","inverse","E","slc-E-3"
"364",20,1.50447257014952,"4","slc","inverse","E","slc-E-4"
"365",40,1,"1","slc","inverse","E","slc-E-1"
"366",40,1.47355486665181,"2","slc","inverse","E","slc-E-2"
"367",40,1.54114123899996,"3","slc","inverse","E","slc-E-3"
"368",40,1.55038907723896,"4","slc","inverse","E","slc-E-4"
"369",60,1,"1","slc","inverse","E","slc-E-1"
"370",60,1.47402416178423,"2","slc","inverse","E","slc-E-2"
"371",60,1.51788703548024,"3","slc","inverse","E","slc-E-3"
"372",60,1.5419263157162,"4","slc","inverse","E","slc-E-4"
"373",80,1,"1","slc","inverse","E","slc-E-1"
"374",80,1.45685017481482,"2","slc","inverse","E","slc-E-2"
"375",80,1.52537197533625,"3","slc","inverse","E","slc-E-3"
"376",80,1.53521213535064,"4","slc","inverse","E","slc-E-4"
"377",100,1,"1","slc","inverse","E","slc-E-1"
"378",100,1.47378607649051,"2","slc","inverse","E","slc-E-2"
"379",100,1.51721857367866,"3","slc","inverse","E","slc-E-3"
"380",100,1.54734423906519,"4","slc","inverse","E","slc-E-4"
"381",20,1,"1","iso","inverse","E","iso-E-1"
"382",20,0.808297401645812,"2","iso","inverse","E","iso-E-2"
"383",20,2.3942330467665,"3","iso","inverse","E","iso-E-3"
"384",20,3.42313378616472,"4","iso","inverse","E","iso-E-4"
"385",40,1,"1","iso","inverse","E","iso-E-1"
"386",40,1.27575714540395,"2","iso","inverse","E","iso-E-2"
"387",40,2.6404106504968,"3","iso","inverse","E","iso-E-3"
"388",40,3.61629305294317,"4","iso","inverse","E","iso-E-4"
"389",60,1,"1","iso","inverse","E","iso-E-1"
"390",60,1.31093226246781,"2","iso","inverse","E","iso-E-2"
"391",60,2.81052495923507,"3","iso","inverse","E","iso-E-3"
"392",60,3.66507012863335,"4","iso","inverse","E","iso-E-4"
"393",80,1,"1","iso","inverse","E","iso-E-1"
"394",80,1.29721662456598,"2","iso","inverse","E","iso-E-2"
"395",80,2.80285216092516,"3","iso","inverse","E","iso-E-3"
"396",80,3.58843917222512,"4","iso","inverse","E","iso-E-4"
"397",100,1,"1","iso","inverse","E","iso-E-1"
"398",100,1.28107645663855,"2","iso","inverse","E","iso-E-2"
"399",100,2.83404721585815,"3","iso","inverse","E","iso-E-3"
"400",100,3.53846642824372,"4","iso","inverse","E","iso-E-4"
"401",20,1,"1","bal","inverse","S","bal-S-1"
"402",20,1.8638447364101,"2","bal","inverse","S","bal-S-2"
"403",20,1.85325902559768,"3","bal","inverse","S","bal-S-3"
"404",20,1.88216772485569,"4","bal","inverse","S","bal-S-4"
"405",40,1,"1","bal","inverse","S","bal-S-1"
"406",40,1.90352447218721,"2","bal","inverse","S","bal-S-2"
"407",40,1.92185036973995,"3","bal","inverse","S","bal-S-3"
"408",40,1.93008094075432,"4","bal","inverse","S","bal-S-4"
"409",60,1,"1","bal","inverse","S","bal-S-1"
"410",60,1.89131208743859,"2","bal","inverse","S","bal-S-2"
"411",60,1.89597492049918,"3","bal","inverse","S","bal-S-3"
"412",60,1.90286233083855,"4","bal","inverse","S","bal-S-4"
"413",80,1,"1","bal","inverse","S","bal-S-1"
"414",80,1.8926408644278,"2","bal","inverse","S","bal-S-2"
"415",80,1.89876414350925,"3","bal","inverse","S","bal-S-3"
"416",80,1.87590573468574,"4","bal","inverse","S","bal-S-4"
"417",100,1,"1","bal","inverse","S","bal-S-1"
"418",100,1.89023458431476,"2","bal","inverse","S","bal-S-2"
"419",100,1.89208853044368,"3","bal","inverse","S","bal-S-3"
"420",100,1.89991902737478,"4","bal","inverse","S","bal-S-4"
"421",20,1,"1","imb","inverse","S","imb-S-1"
"422",20,3.72939928635175,"2","imb","inverse","S","imb-S-2"
"423",20,4.44682320955006,"3","imb","inverse","S","imb-S-3"
"424",20,6.66898391849512,"4","imb","inverse","S","imb-S-4"
"425",40,1,"1","imb","inverse","S","imb-S-1"
"426",40,4.96613266574973,"2","imb","inverse","S","imb-S-2"
"427",40,6.19240861382555,"3","imb","inverse","S","imb-S-3"
"428",40,8.87878734269776,"4","imb","inverse","S","imb-S-4"
"429",60,1,"1","imb","inverse","S","imb-S-1"
"430",60,5.68807424485471,"2","imb","inverse","S","imb-S-2"
"431",60,7.59603435509483,"3","imb","inverse","S","imb-S-3"
"432",60,9.6869257427925,"4","imb","inverse","S","imb-S-4"
"433",80,1,"1","imb","inverse","S","imb-S-1"
"434",80,5.87931137400499,"2","imb","inverse","S","imb-S-2"
"435",80,8.07688744705776,"3","imb","inverse","S","imb-S-3"
"436",80,9.92324393146779,"4","imb","inverse","S","imb-S-4"
"437",100,1,"1","imb","inverse","S","imb-S-1"
"438",100,5.98620287448872,"2","imb","inverse","S","imb-S-2"
"439",100,8.24157668706775,"3","imb","inverse","S","imb-S-3"
"440",100,9.91139903404504,"4","imb","inverse","S","imb-S-4"
"441",20,1,"1","slc","inverse","S","slc-S-1"
