"","Images","Speedup","Strategy","Workload","Camera","Format","Label"
"136",60,1.61522341531001,"2","imb","cinema","S","imb-S-2"
"137",80,1,"1","imb","cinema","S","imb-S-1"
"138",80,1.64463855502766,"2","imb","cinema","S","imb-S-2"
"139",100,1,"1","imb","cinema","S","imb-S-1"
"140",100,1.66681759623107,"2","imb","cinema","S","imb-S-2"
"141",20,1,"1","slc","cinema","S","slc-S-1"
"142",20,1.26438300467575,"2","slc","cinema","S","slc-S-2"
"143",40,1,"1","slc","cinema","S","slc-S-1"
"144",40,1.23846324868582,"2","slc","cinema","S","slc-S-2"
"145",60,1,"1","slc","cinema","S","slc-S-1"
"146",60,1.2495782023084,"2","slc","cinema","S","slc-S-2"
"147",80,1,"1","slc","cinema","S","slc-S-1"
"148",80,1.24738056511707,"2","slc","cinema","S","slc-S-2"
"149",100,1,"1","slc","cinema","S","slc-S-1"
"150",100,1.25819936866994,"2","slc","cinema","S","slc-S-2"
"151",20,1,"1","iso","cinema","S","iso-S-1"
"152",20,1.13354862949462,"2","iso","cinema","S","iso-S-2"
"153",40,1,"1","iso","cinema","S","iso-S-1"
"154",40,1.13782232281416,"2","iso","cinema","S","iso-S-2"
"155",60,1,"1","iso","cinema","S","iso-S-1"
"156",60,1.13157920806792,"2","iso","cinema","S","iso-S-2"
"157",80,1,"1","iso","cinema","S","iso-S-1"
"158",80,1.11671614472891,"2","iso","cinema","S","iso-S-2"
"159",100,1,"1","iso","cinema","S","iso-S-1"
"160",100,1.14578901710062,"2","iso","cinema","S","iso-S-2"
"161",20,1,"1","bal","inverse","E","bal-E-1"
"162",20,1.8232995626662,"2","bal","inverse","E","bal-E-2"
"163",40,1,"1","bal","inverse","E","bal-E-1"
"164",40,1.92441101220617,"2","bal","inverse","E","bal-E-2"
"165",60,1,"1","bal","inverse","E","bal-E-1"
"166",60,1.88629568608594,"2","bal","inverse","E","bal-E-2"
"167",80,1,"1","bal","inverse","E","bal-E-1"
"168",80,1.89743772036427,"2","bal","inverse","E","bal-E-2"
"169",100,1,"1","bal","inverse","E","bal-E-1"
"170",100,1.8910939312629,"2","bal","inverse","E","bal-E-2"
"171",20,1,"1","imb","inverse","E","imb-E-1"
"172",20,6.00530818373348,"2","imb","inverse","E","imb-E-2"
"173",40,1,"1","imb","inverse","E","imb-E-1"
"174",40,7.27305103831147,"2","imb","inverse","E","imb-E-2"
"175",60,1,"1","imb","inverse","E","imb-E-1"
"176",60,7.80803010828483,"2","imb","inverse","E","imb-E-2"
"177",80,1,"1","imb","inverse","E","imb-E-1"
"178",80,8.04580145361921,"2","imb","inverse","E","imb-E-2"
"179",100,1,"1","imb","inverse","E","imb-E-1"
"180",100,7.99568869064491,"2","imb","inverse","E","imb-E-2"
"181",20,1,"1","slc","inverse","E","slc-E-1"
"182",20,1.44459308807135,"2","slc","inverse","E","slc-E-2"
"183",40,1,"1","slc","inverse","E","slc-E-1"
"184",40,1.49734398974498,"2","slc","inverse","E","slc-E-2"
"185",60,1,"1","slc","inverse","E","slc-E-1"
"186",60,1.4983585104543,"2","slc","inverse","E","slc-E-2"
"187",80,1,"1","slc","inverse","E","slc-E-1"
"188",80,1.48020138761274,"2","slc","inverse","E","slc-E-2"
"189",100,1,"1","slc","inverse","E","slc-E-1"
"190",100,1.49682228324833,"2","slc","inverse","E","slc-E-2"
"191",20,1,"1","iso","inverse","E","iso-E-1"
"192",20,1.75757627407534,"2","iso","inverse","E","iso-E-2"
"193",40,1,"1","iso","inverse","E","iso-E-1"
"194",40,1.87900623577155,"2","iso","inverse","E","iso-E-2"
"195",60,1,"1","iso","inverse","E","iso-E-1"
"196",60,1.97767496058674,"2","iso","inverse","E","iso-E-2"
"197",80,1,"1","iso","inverse","E","iso-E-1"
"198",80,1.89973457367476,"2","iso","inverse","E","iso-E-2"
"199",100,1,"1","iso","inverse","E","iso-E-1"
"200",100,1.89438821855481,"2","iso","inverse","E","iso-E-2"
"201",20,1,"1","bal","inverse","S","bal-S-1"
"202",20,1.87529014369451,"2","bal","inverse","S","bal-S-2"
"203",40,1,"1","bal","inverse","S","bal-S-1"
"204",40,1.9122634236338,"2","bal","inverse","S","bal-S-2"
"205",60,1,"1","bal","inverse","S","bal-S-1"
"206",60,1.89881697527751,"2","bal","inverse","S","bal-S-2"
"207",80,1,"1","bal","inverse","S","bal-S-1"
"208",80,1.89845665465154,"2","bal","inverse","S","bal-S-2"
"209",100,1,"1","bal","inverse","S","bal-S-1"
"210",100,1.89660756070002,"2","bal","inverse","S","bal-S-2"
"211",20,1,"1","imb","inverse","S","imb-S-1"
"212",20,6.90836846176652,"2","imb","inverse","S","imb-S-2"
"213",40,1,"1","imb","inverse","S","imb-S-1"
"214",40,9.48723774718494,"2","imb","inverse","S","imb-S-2"
"215",60,1,"1","imb","inverse","S","imb-S-1"
"216",60,10.4325106450495,"2","imb","inverse","S","imb-S-2"
"217",80,1,"1","imb","inverse","S","imb-S-1"
"218",80,10.6683916568535,"2","imb","inverse","S","imb-S-2"
"219",100,1,"1","imb","inverse","S","imb-S-1"
"220",100,10.713147916402,"2","imb","inverse","S","imb-S-2"
"221",20,1,"1","slc","inverse","S","slc-S-1"
"222",20,1.40604521307534,"2","slc","inverse","S","slc-S-2"
"223",40,1,"1","slc","inverse","S","slc-S-1"
"224",40,1.5158276059705,"2","slc","inverse","S","slc-S-2"
"225",60,1,"1","slc","inverse","S","slc-S-1"
"226",60,1.4395670787254,"2","slc","inverse","S","slc-S-2"
"227",80,1,"1","slc","inverse","S","slc-S-1"
"228",80,1.50324173483456,"2","slc","inverse","S","slc-S-2"
"229",100,1,"1","slc","inverse","S","slc-S-1"
"230",100,1.29575180051637,"2","slc","inverse","S","slc-S-2"
"231",20,1,"1","iso","inverse","S","iso-S-1"
"232",20,1.87520608573166,"2","iso","inverse","S","iso-S-2"
"233",40,1,"1","iso","inverse","S","iso-S-1"
"234",40,1.99509868226296,"2","iso","inverse","S","iso-S-2"
"235",60,1,"1","iso","inverse","S","iso-S-1"
"236",60,2.09394536476197,"2","iso","inverse","S","iso-S-2"
"237",80,1,"1","iso","inverse","S","iso-S-1"
"238",80,2.0190806953165,"2","iso","inverse","S","iso-S-2"
"239",100,1,"1","iso","inverse","S","iso-S-1"
"240",100,2.02529439696106,"2","iso","inverse","S","iso-S-2"
