"","Images","Speedup","Strategy","Workload","Camera","Format","Label"
"135",80,2.23847945188174,"3","slc","Surface","S","slc-S-3"
"136",80,3.54047402582265,"4","slc","Surface","S","slc-S-4"
"137",100,1,"1","slc","Surface","S","slc-S-1"
"138",100,1.29420177181414,"2","slc","Surface","S","slc-S-2"
"139",100,2.31838282829672,"3","slc","Surface","S","slc-S-3"
"140",100,3.35960274470916,"4","slc","Surface","S","slc-S-4"
"141",20,1,"1","iso","Surface","S","iso-S-1"
"142",20,1.02492986626708,"2","iso","Surface","S","iso-S-2"
"143",20,1.31037897557041,"3","iso","Surface","S","iso-S-3"
"144",20,5.13942912023502,"4","iso","Surface","S","iso-S-4"
"145",40,1,"1","iso","Surface","S","iso-S-1"
"146",40,1.10860438555076,"2","iso","Surface","S","iso-S-2"
"147",40,1.67465493974763,"3","iso","Surface","S","iso-S-3"
"148",40,4.73338798179871,"4","iso","Surface","S","iso-S-4"
"149",60,1,"1","iso","Surface","S","iso-S-1"
"150",60,1.09826306329781,"2","iso","Surface","S","iso-S-2"
"151",60,1.85520501181678,"3","iso","Surface","S","iso-S-3"
"152",60,4.63989817171951,"4","iso","Surface","S","iso-S-4"
"153",80,1,"1","iso","Surface","S","iso-S-1"
"154",80,1.10558776514691,"2","iso","Surface","S","iso-S-2"
"155",80,1.8042347492412,"3","iso","Surface","S","iso-S-3"
"156",80,4.4078291438945,"4","iso","Surface","S","iso-S-4"
"157",100,1,"1","iso","Surface","S","iso-S-1"
"158",100,1.13158979741958,"2","iso","Surface","S","iso-S-2"
"159",100,2.04427670538137,"3","iso","Surface","S","iso-S-3"
"160",100,4.07472627871679,"4","iso","Surface","S","iso-S-4"
"161",20,1,"1","bal","cinema","E","bal-E-1"
"162",20,1.05479643788162,"2","bal","cinema","E","bal-E-2"
"163",20,4.10192036196016,"3","bal","cinema","E","bal-E-3"
"164",20,13.9622510421491,"4","bal","cinema","E","bal-E-4"
"165",40,1,"1","bal","cinema","E","bal-E-1"
"166",40,1.02635050382089,"2","bal","cinema","E","bal-E-2"
"167",40,5.05959932460183,"3","bal","cinema","E","bal-E-3"
"168",40,15.3267991926788,"4","bal","cinema","E","bal-E-4"
"169",60,1,"1","bal","cinema","E","bal-E-1"
"170",60,1.06304735936638,"2","bal","cinema","E","bal-E-2"
"171",60,4.79652065403971,"3","bal","cinema","E","bal-E-3"
"172",60,15.4884767998941,"4","bal","cinema","E","bal-E-4"
"173",80,1,"1","bal","cinema","E","bal-E-1"
"174",80,1.06047196909667,"2","bal","cinema","E","bal-E-2"
"175",80,5.14357810891735,"3","bal","cinema","E","bal-E-3"
"176",80,14.9571640618179,"4","bal","cinema","E","bal-E-4"
"177",100,1,"1","bal","cinema","E","bal-E-1"
"178",100,1.0655338157206,"2","bal","cinema","E","bal-E-2"
"179",100,5.01683660032356,"3","bal","cinema","E","bal-E-3"
"180",100,15.1336397684712,"4","bal","cinema","E","bal-E-4"
"181",20,1,"1","imb","cinema","E","imb-E-1"
"182",20,1.01055210099868,"2","imb","cinema","E","imb-E-2"
"183",20,3.89972887529995,"3","imb","cinema","E","imb-E-3"
"184",20,14.4726155902233,"4","imb","cinema","E","imb-E-4"
"185",40,1,"1","imb","cinema","E","imb-E-1"
"186",40,1.0028731394757,"2","imb","cinema","E","imb-E-2"
"187",40,5.19581627698928,"3","imb","cinema","E","imb-E-3"
"188",40,17.3057254258157,"4","imb","cinema","E","imb-E-4"
"189",60,1,"1","imb","cinema","E","imb-E-1"
"190",60,1.03261036815028,"2","imb","cinema","E","imb-E-2"
"191",60,4.78077857637324,"3","imb","cinema","E","imb-E-3"
"192",60,17.475601195598,"4","imb","cinema","E","imb-E-4"
"193",80,1,"1","imb","cinema","E","imb-E-1"
"194",80,1.01483812721583,"2","imb","cinema","E","imb-E-2"
"195",80,4.80588418262631,"3","imb","cinema","E","imb-E-3"
"196",80,16.9568423059811,"4","imb","cinema","E","imb-E-4"
"197",100,1,"1","imb","cinema","E","imb-E-1"
"198",100,1.00294154640137,"2","imb","cinema","E","imb-E-2"
"199",100,5.02622974819442,"3","imb","cinema","E","imb-E-3"
"200",100,17.1645812212702,"4","imb","cinema","E","imb-E-4"
"201",20,1,"1","slc","cinema","E","slc-E-1"
"202",20,0.994254073435302,"2","slc","cinema","E","slc-E-2"
"203",20,3.97239358364795,"3","slc","cinema","E","slc-E-3"
"204",20,14.6440986148992,"4","slc","cinema","E","slc-E-4"
"205",40,1,"1","slc","cinema","E","slc-E-1"
"206",40,0.974453224622281,"2","slc","cinema","E","slc-E-2"
"207",40,4.85211071133088,"3","slc","cinema","E","slc-E-3"
"208",40,16.6348936731614,"4","slc","cinema","E","slc-E-4"
"209",60,1,"1","slc","cinema","E","slc-E-1"
"210",60,1.00278903975402,"2","slc","cinema","E","slc-E-2"
"211",60,4.66344305935835,"3","slc","cinema","E","slc-E-3"
"212",60,17.3017065327105,"4","slc","cinema","E","slc-E-4"
"213",80,1,"1","slc","cinema","E","slc-E-1"
"214",80,1.00997294986761,"2","slc","cinema","E","slc-E-2"
"215",80,4.95010780788927,"3","slc","cinema","E","slc-E-3"
"216",80,17.517453049157,"4","slc","cinema","E","slc-E-4"
"217",100,1,"1","slc","cinema","E","slc-E-1"
"218",100,1.01156218524469,"2","slc","cinema","E","slc-E-2"
"219",100,5.13896480234954,"3","slc","cinema","E","slc-E-3"
"220",100,17.6083113571159,"4","slc","cinema","E","slc-E-4"
"221",20,1,"1","iso","cinema","E","iso-E-1"
"222",20,0.999076377129801,"2","iso","cinema","E","iso-E-2"
"223",20,3.29401236793952,"3","iso","cinema","E","iso-E-3"
"224",20,14.2428302475196,"4","iso","cinema","E","iso-E-4"
"225",40,1,"1","iso","cinema","E","iso-E-1"
"226",40,0.997543073271896,"2","iso","cinema","E","iso-E-2"
"227",40,3.85943483652916,"3","iso","cinema","E","iso-E-3"
"228",40,14.2375490966222,"4","iso","cinema","E","iso-E-4"
"229",60,1,"1","iso","cinema","E","iso-E-1"
"230",60,1.02712070538157,"2","iso","cinema","E","iso-E-2"
"231",60,4.37895839328444,"3","iso","cinema","E","iso-E-3"
"232",60,14.0755400929147,"4","iso","cinema","E","iso-E-4"
"233",80,1,"1","iso","cinema","E","iso-E-1"
"234",80,1.02832434996535,"2","iso","cinema","E","iso-E-2"
"235",80,4.60405837175818,"3","iso","cinema","E","iso-E-3"
"236",80,13.9189291267208,"4","iso","cinema","E","iso-E-4"
"237",100,1,"1","iso","cinema","E","iso-E-1"
"238",100,1.0152914366851,"2","iso","cinema","E","iso-E-2"
"239",100,4.95963235161992,"3","iso","cinema","E","iso-E-3"
"240",100,13.9475718833695,"4","iso","cinema","E","iso-E-4"
"241",20,1,"1","bal","cinema","S","bal-S-1"
"242",20,1.0369843084601,"2","bal","cinema","S","bal-S-2"
"243",20,1.32569077715915,"3","bal","cinema","S","bal-S-3"
"244",20,4.76676881658838,"4","bal","cinema","S","bal-S-4"
"245",40,1,"1","bal","cinema","S","bal-S-1"
"246",40,0.969769877620051,"2","bal","cinema","S","bal-S-2"
"247",40,1.55472707002863,"3","bal","cinema","S","bal-S-3"
"248",40,4.37529412903913,"4","bal","cinema","S","bal-S-4"
"249",60,1,"1","bal","cinema","S","bal-S-1"
"250",60,1.03122999472501,"2","bal","cinema","S","bal-S-2"
"251",60,1.78917921499402,"3","bal","cinema","S","bal-S-3"
"252",60,4.20821751760747,"4","bal","cinema","S","bal-S-4"
"253",80,1,"1","bal","cinema","S","bal-S-1"
"254",80,0.999274619243925,"2","bal","cinema","S","bal-S-2"
"255",80,1.92211340656548,"3","bal","cinema","S","bal-S-3"
"256",80,3.99905255040211,"4","bal","cinema","S","bal-S-4"
"257",100,1,"1","bal","cinema","S","bal-S-1"
"258",100,0.991889640677151,"2","bal","cinema","S","bal-S-2"
"259",100,1.88518577400798,"3","bal","cinema","S","bal-S-3"
"260",100,3.76461408443147,"4","bal","cinema","S","bal-S-4"
"261",20,1,"1","imb","cinema","S","imb-S-1"
"262",20,0.970741672184398,"2","imb","cinema","S","imb-S-2"
"263",20,1.29789202064311,"3","imb","cinema","S","imb-S-3"
"264",20,4.95437187452644,"4","imb","cinema","S","imb-S-4"
"265",40,1,"1","imb","cinema","S","imb-S-1"
"266",40,1.20607001803875,"2","imb","cinema","S","imb-S-2"
"267",40,1.96308383412721,"3","imb","cinema","S","imb-S-3"
"268",40,5.66747977395617,"4","imb","cinema","S","imb-S-4"
"269",60,1,"1","imb","cinema","S","imb-S-1"
"270",60,0.988751964694378,"2","imb","cinema","S","imb-S-2"
"271",60,1.77242691597019,"3","imb","cinema","S","imb-S-3"
"272",60,4.23673684287501,"4","imb","cinema","S","imb-S-4"
"273",80,1,"1","imb","cinema","S","imb-S-1"
"274",80,0.970682370332026,"2","imb","cinema","S","imb-S-2"
"275",80,2.00810335643452,"3","imb","cinema","S","imb-S-3"
"276",80,4.44705637866119,"4","imb","cinema","S","imb-S-4"
"277",100,1,"1","imb","cinema","S","imb-S-1"
"278",100,0.971503668384165,"2","imb","cinema","S","imb-S-2"
"279",100,1.94964878078606,"3","imb","cinema","S","imb-S-3"
"280",100,4.14575176145257,"4","imb","cinema","S","imb-S-4"
"281",20,1,"1","slc","cinema","S","slc-S-1"
"282",20,0.982742468910405,"2","slc","cinema","S","slc-S-2"
"283",20,1.32364631707946,"3","slc","cinema","S","slc-S-3"
"284",20,5.34874894116114,"4","slc","cinema","S","slc-S-4"
"285",40,1,"1","slc","cinema","S","slc-S-1"
"286",40,1.09205361822306,"2","slc","cinema","S","slc-S-2"
"287",40,1.70003099626263,"3","slc","cinema","S","slc-S-3"
"288",40,5.00553882950266,"4","slc","cinema","S","slc-S-4"
"289",60,1,"1","slc","cinema","S","slc-S-1"
"290",60,1.00836017292158,"2","slc","cinema","S","slc-S-2"
"291",60,1.68421658257052,"3","slc","cinema","S","slc-S-3"
"292",60,4.63458539481496,"4","slc","cinema","S","slc-S-4"
"293",80,1,"1","slc","cinema","S","slc-S-1"
"294",80,0.953858614035795,"2","slc","cinema","S","slc-S-2"
"295",80,1.89104324284129,"3","slc","cinema","S","slc-S-3"
"296",80,4.33210511372599,"4","slc","cinema","S","slc-S-4"
"297",100,1,"1","slc","cinema","S","slc-S-1"
"298",100,1.01848408395125,"2","slc","cinema","S","slc-S-2"
"299",100,2.12280038079968,"3","slc","cinema","S","slc-S-3"
"300",100,4.26934549302162,"4","slc","cinema","S","slc-S-4"
"301",20,1,"1","iso","cinema","S","iso-S-1"
"302",20,0.985454068929367,"2","iso","cinema","S","iso-S-2"
"303",20,1.25703603130309,"3","iso","cinema","S","iso-S-3"
"304",20,5.50611159260034,"4","iso","cinema","S","iso-S-4"
"305",40,1,"1","iso","cinema","S","iso-S-1"
"306",40,0.989360945266457,"2","iso","cinema","S","iso-S-2"
"307",40,1.48421265180143,"3","iso","cinema","S","iso-S-3"
"308",40,4.74726207501038,"4","iso","cinema","S","iso-S-4"
"309",60,1,"1","iso","cinema","S","iso-S-1"
"310",60,1.05997226664114,"2","iso","cinema","S","iso-S-2"
"311",60,1.81237147680188,"3","iso","cinema","S","iso-S-3"
"312",60,4.62635963595054,"4","iso","cinema","S","iso-S-4"
"313",80,1,"1","iso","cinema","S","iso-S-1"
"314",80,0.971962650270388,"2","iso","cinema","S","iso-S-2"
"315",80,1.58453654362286,"3","iso","cinema","S","iso-S-3"
"316",80,4.11045300210382,"4","iso","cinema","S","iso-S-4"
"317",100,1,"1","iso","cinema","S","iso-S-1"
"318",100,1.00588901357759,"2","iso","cinema","S","iso-S-2"
"319",100,1.86846711161356,"3","iso","cinema","S","iso-S-3"
"320",100,4.05511538242079,"4","iso","cinema","S","iso-S-4"
"321",20,1,"1","bal","inverse","E","bal-E-1"
"322",20,1.30211821066711,"2","bal","inverse","E","bal-E-2"
"323",20,4.42917975068988,"3","bal","inverse","E","bal-E-3"
"324",20,9.66103234008328,"4","bal","inverse","E","bal-E-4"
"325",40,1,"1","bal","inverse","E","bal-E-1"
"326",40,1.32402554979531,"2","bal","inverse","E","bal-E-2"
"327",40,4.88541767831624,"3","bal","inverse","E","bal-E-3"
"328",40,9.57847384205265,"4","bal","inverse","E","bal-E-4"
"329",60,1,"1","bal","inverse","E","bal-E-1"
"330",60,1.3650169267608,"2","bal","inverse","E","bal-E-2"
"331",60,4.40554513281883,"3","bal","inverse","E","bal-E-3"
"332",60,8.55321376981055,"4","bal","inverse","E","bal-E-4"
"333",80,1,"1","bal","inverse","E","bal-E-1"
"334",80,1.39339823173195,"2","bal","inverse","E","bal-E-2"
"335",80,4.53938665554765,"3","bal","inverse","E","bal-E-3"
"336",80,8.39348990772431,"4","bal","inverse","E","bal-E-4"
"337",100,1,"1","bal","inverse","E","bal-E-1"
